date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20230726,daint,double,nl-gt:cpu_kfirst,65536,1,1,50,356.34119590744376,1.0479144202140342,7349.261107378822,21.422522590026652
20230726,daint,single,nl-gt:cpu_kfirst,65536,1,1,50,278.9527829363942,0.7110035706550402,9388.108590198712,23.716989974392032
20230726,daint,single,tl-gt:cpu_kfirst,65536,1,1,50,4360.719064921141,21.063903914930158,0,0
20230726,daint,double,tl-gt:cpu_kfirst,65536,1,1,50,5681.084213685244,9.400361830627212,0,0
20230727,daint,single,ad-gt:cpu_kfirst,65536,1,1,50,1443.6510403081775,3.2713154255904193,0,0
20230727,daint,double,ad-gt:cpu_kfirst,65536,1,1,50,1718.1002917326987,6.02265164962779,0,0
20230727,daint,single,ad-dace:gpu,65536,1,1,50,55.44064110144973,0.9313414230379994,0,0
20230727,daint,double,ad-dace:gpu,65536,1,1,50,92.14400168508291,0.22447878353131373,0,0
20230727,daint,double,tl-dace:gpu,65536,1,1,50,226.97906970977783,0.6814388215153732,0,0
20230727,daint,single,tl-dace:gpu,65536,1,1,50,135.5763746239245,0.6704500487771629,0,0
20230727,daint,single,nl-dace:gpu,65536,1,1,50,7.825679574161768,0.36785003842219305,335378.6873521365,15944.238373837825
20230727,daint,double,nl-dace:gpu,65536,1,1,50,11.952578630298376,0.5056625415696349,219474.55443756367,9016.17457664835
