date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240108,lumi,double,nl,65536,7,32,50,170.68,3.919808408479127,15304.5,340.0903391387503
20240108,lumi,double,tl,65536,7,32,50,1654.0,25.172871695294422,1582.76,23.05234504871246
20240108,lumi,double,ad,65536,7,32,50,656.44,5.345835686183544,3985.76,32.46131763895518
20240108,lumi,single,nl,65536,7,32,50,120.24,2.527885298353677,21689.0,482.542247278063
20240108,lumi,single,tl,65536,7,32,50,1238.42,32.05676725015501,2114.6,50.56174241378917
20240108,lumi,single,ad,65536,7,32,50,408.24,5.995100040015678,6408.7,90.89919287488819
20240108,lumi,double,nl,65536,56,32,50,31.22,0.41845195759648013,82704.16,905.3496417835216
20240108,lumi,double,tl,65536,56,32,50,339.1,6.204836822995427,7712.08,139.13520659518827
20240108,lumi,double,ad,65536,56,32,50,132.7,1.297564437470353,19661.52,194.76718074120586
20240108,lumi,single,nl,65536,56,32,50,19.76,0.5554920598635307,129683.2,2512.5751567599623
20240108,lumi,single,tl,65536,56,32,50,212.64,3.2561401965504824,12287.26,185.50689629075404
20240108,lumi,single,ad,65536,56,32,50,76.84,1.2992933715316648,33901.8,546.5920017037669
20240108,lumi,double,nl-loki-scc-hoist,65536,1,256,50,28.88,0.4797958749641904,89199.06,1188.100995672661
20240108,lumi,double,tl-loki-scc-hoist,65536,1,256,50,350.16,1.8445728447507395,7466.26,38.21678763505453
20240108,lumi,double,ad-loki-scc-hoist,65536,1,256,50,1250.0,13.660609243293624,2094.14,22.833925708587792
20240108,lumi,single,nl-loki-scc-hoist,65536,1,256,50,19.54,0.8134080483135291,130284.4,3973.1487333276177
20240108,lumi,single,tl-loki-scc-hoist,65536,1,256,50,218.92,1.7004201161561732,11933.06,90.5460554815355
20240108,lumi,single,ad-loki-scc-hoist,65536,1,256,50,879.92,10.141529088105898,2974.4,34.18318001471437
