date,host,precision,variant,num_cols,num_runs,num_threads,stencils
20240103,mlux,double,nl-gt:cpu_kfirst,65536,50,64,100.11962138582021
20240103,mlux,double,nl-gt:cpu_kfirst,65536,50,16,152.18244319316
20240103,mlux,single,nl-gt:cpu_kfirst,65536,50,16,107.39040228538215
20240103,mlux,single,nl-gt:cpu_kfirst,65536,50,64,50.285693504847586
20240103,mlux,single,ad-gt:cpu_kfirst,65536,50,64,280.53488199133426
20240103,mlux,single,ad-gt:cpu_kfirst,65536,50,16,735.8533067116514
20240103,mlux,double,ad-gt:cpu_kfirst,65536,50,16,1054.6545612765476
20240103,mlux,double,ad-gt:cpu_kfirst,65536,50,64,700.7367417309433
20240103,mlux,double,ad-dace:gpu,65536,50,1,38.94321275409311
20240103,mlux,single,ad-dace:gpu,65536,50,1,21.48569888435304
20240103,mlux,single,nl-dace:gpu,65536,50,1,2.8143933694809675
20240103,mlux,double,nl-dace:gpu,65536,50,1,5.30027243308723
